id,name,active,code,category,country
seaports_airports_0001,Abidjan,true,IVABJ,Puerto,CI
seaports_airports_0002,Acajutla,true,ESACJ,Puerto,SV
seaports_airports_0003,Acapulco,true,MXACP,Puerto,MX
seaports_airports_0004,Accra,true,GHACC,Puerto,GH
seaports_airports_0005,Adelaide,true,ASPDL,Puerto,AU
seaports_airports_0006,Agria,true,GRARI,Puerto,GR
seaports_airports_0007,Al Fuhayhil,true,KUMHD,Puerto,KW
seaports_airports_0008,Al Kuwayt,true,KUALK,Puerto,KW
seaports_airports_0009,Alabama,true,USALA,Puerto,US
seaports_airports_0010,Albany,true,ASALY,Puerto,AU
seaports_airports_0011,Alberton,true,CACPQ,Puerto,CA
seaports_airports_0012,Algeciras,true,SPAGS,Puerto,ES
seaports_airports_0013,Almirante Brown,true,ARABN,Puerto,AR
seaports_airports_0014,Altamira,true,MXAEM,Puerto,MX
seaports_airports_0015,Amsterdam,true,NLAMS,Puerto,NL
seaports_airports_0016,Anchorage,true,USANC,Puerto,US
seaports_airports_0017,Angra (Harbour),true,POARQ,Puerto,PT
seaports_airports_0018,Antigua,true,UKSTJ,Puerto,AG
seaports_airports_0019,Antofagasta,true,CIAFA,Puerto,CL
seaports_airports_0020,Antwerp,true,BEANW,Puerto,BE
seaports_airports_0021,Ao Phuket,true,THAOP,Puerto,TH
seaports_airports_0022,Apapa,true,NILAG,Puerto,NG
seaports_airports_0023,Aracaju,true,BRARC,Puerto,BR
seaports_airports_0024,Arica,true,CIARA,Puerto,CL
seaports_airports_0025,Aruba,true,NLOAS,Puerto,NL
seaports_airports_0026,Asuncion,true,PAASU,Puerto,PY
seaports_airports_0027,Athens,true,GRPIR,Puerto,GR
seaports_airports_0028,Auckland,true,NZAUC,Puerto,NZ
seaports_airports_0029,Azores,true,POHOR,Puerto,PT
seaports_airports_0030,Bahia,true,BRBAH,Puerto,BR
seaports_airports_0031,Bahia Blanca,true,ARBBL,Puerto,AR
seaports_airports_0032,Bahia San Blas,true,ARSBC,Puerto,AR
seaports_airports_0033,Bahia San Gregorio,true,CIBAC,Puerto,CL
seaports_airports_0034,Bahia San Sebastian,true,ARBSX,Puerto,AR
seaports_airports_0035,Balboa,true,PNBLB,Puerto,PA
seaports_airports_0036,Baltimore,true,USBLT,Puerto,US
seaports_airports_0037,Banghazi,true,LYBNZ,Puerto,LY
seaports_airports_0038,Bangkok,true,THBNK,Puerto,TH
