id,country,active,name,code,category,note
port_0001,base.ci,true,Abidjan,IVABJ,Puerto,.
port_0002,base.sv,true,Acajutla,ESACJ,Puerto,.
port_0003,base.mx,true,Acapulco,MXACP,Puerto,.
port_0004,base.gh,true,Accra,GHACC,Puerto,.
port_0005,base.au,true,Adelaide,ASPDL,Puerto,.
port_0006,base.gr,true,Agria,GRARI,Puerto,.
port_0007,base.kw,true,Al Fuhayhil,KUMHD,Puerto,.
port_0008,base.kw,true,Al Kuwayt,KUALK,Puerto,.
port_0009,base.us,true,Alabama,USALA,Puerto,.
port_0010,base.au,true,Albany,ASALY,Puerto,.
port_0011,base.ca,true,Alberton,CACPQ,Puerto,.
port_0012,base.es,true,Algeciras,SPAGS,Puerto,.
port_0013,base.ar,true,Almirante Brown,ARABN,Puerto,.
port_0014,base.mx,true,Altamira,MXAEM,Puerto,.
port_0015,base.nl,true,Amsterdam,NLAMS,Puerto,.
port_0016,base.us,true,Anchorage,USANC,Puerto,.
port_0017,base.pt,true,Angra (Harbour),POARQ,Puerto,.
port_0018,base.ag,true,Antigua,UKSTJ,Puerto,.
port_0019,base.cl,true,Antofagasta,CIAFA,Puerto,.
port_0020,base.be,true,Antwerp,BEANW,Puerto,.
port_0021,base.th,true,Ao Phuket,THAOP,Puerto,.
port_0022,base.ng,true,Apapa,NILAG,Puerto,.
port_0023,base.br,true,Aracaju,BRARC,Puerto,.
port_0024,base.cl,true,Arica,CIARA,Puerto,.
port_0025,base.nl,true,Aruba,NLOAS,Puerto,.
port_0026,base.py,true,Asuncion,PAASU,Puerto,.
port_0027,base.gr,true,Athens,GRPIR,Puerto,.
port_0028,base.nz,true,Auckland,NZAUC,Puerto,.
port_0029,base.pt,true,Azores,POHOR,Puerto,.
port_0030,base.br,true,Bahia,BRBAH,Puerto,.
port_0031,base.ar,true,Bahia Blanca,ARBBL,Puerto,.
port_0032,base.ar,true,Bahia San Blas,ARSBC,Puerto,.
port_0033,base.cl,true,Bahia San Gregorio,CIBAC,Puerto,.
port_0034,base.ar,true,Bahia San Sebastian,ARBSX,Puerto,.
port_0035,base.pa,true,Balboa,PNBLB,Puerto,.
port_0036,base.us,true,Baltimore,USBLT,Puerto,.
port_0037,base.ly,true,Banghazi,LYBNZ,Puerto,.
port_0038,base.th,true,Bangkok,THBNK,Puerto,.
port_0039,base.bb,true,Barbados,BBBWN,Puerto,.
port_0040,base.es,true,Barcelona,SPBRE,Puerto,.
port_0041,base.it,true,Bari,ITBPI,Puerto,.
port_0042,base.cl,true,Barquito-Cha¤aral,CICLM,Puerto,.
port_0043,base.ar,true,Barranqueras,ARBRQ,Puerto,.
port_0044,base.co,true,Barranquilla,COBQA,Puerto,.
port_0045,base.th,true,Bass Harbour,THBSH,Puerto,.
port_0046,base.fr,true,Bayonne,FRBYE,Puerto,.
