id,name,active,code,category,country_id
port_0001,Abidjan,true,IVABJ,Puerto,CI
port_0002,Acajutla,true,ESACJ,Puerto,SV
port_0003,Acapulco,true,MXACP,Puerto,MX
port_0004,Accra,true,GHACC,Puerto,GH
port_0005,Adelaide,true,ASPDL,Puerto,AU
port_0006,Agria,true,GRARI,Puerto,GR
port_0007,Al Fuhayhil,true,KUMHD,Puerto,KW
port_0008,Al Kuwayt,true,KUALK,Puerto,KW
port_0009,Alabama,true,USALA,Puerto,US
port_0010,Albany,true,ASALY,Puerto,AU
port_0011,Alberton,true,CACPQ,Puerto,CA
port_0012,Algeciras,true,SPAGS,Puerto,ES
port_0013,Almirante Brown,true,ARABN,Puerto,AR
port_0014,Altamira,true,MXAEM,Puerto,MX
port_0015,Amsterdam,true,NLAMS,Puerto,NL
port_0016,Anchorage,true,USANC,Puerto,US
port_0017,Angra (Harbour),true,POARQ,Puerto,PT
port_0018,Antigua,true,UKSTJ,Puerto,AG
port_0019,Antofagasta,true,CIAFA,Puerto,CL
port_0020,Antwerp,true,BEANW,Puerto,BE
port_0021,Ao Phuket,true,THAOP,Puerto,TH
port_0022,Apapa,true,NILAG,Puerto,NG
port_0023,Aracaju,true,BRARC,Puerto,BR
port_0024,Arica,true,CIARA,Puerto,CL
port_0025,Aruba,true,NLOAS,Puerto,NL
port_0026,Asuncion,true,PAASU,Puerto,PY
port_0027,Athens,true,GRPIR,Puerto,GR
port_0028,Auckland,true,NZAUC,Puerto,NZ
port_0029,Azores,true,POHOR,Puerto,PT
port_0030,Bahia,true,BRBAH,Puerto,BR
port_0031,Bahia Blanca,true,ARBBL,Puerto,AR
port_0032,Bahia San Blas,true,ARSBC,Puerto,AR
port_0033,Bahia San Gregorio,true,CIBAC,Puerto,CL
port_0034,Bahia San Sebastian,true,ARBSX,Puerto,AR
port_0035,Balboa,true,PNBLB,Puerto,PA
port_0036,Baltimore,true,USBLT,Puerto,US
port_0037,Banghazi,true,LYBNZ,Puerto,LY
port_0038,Bangkok,true,THBNK,Puerto,TH
port_0039,Barbados,true,BBBWN,Puerto,BB
port_0040,Barcelona,true,SPBRE,Puerto,ES
port_0041,Bari,true,ITBPI,Puerto,IT
port_0042,Barquito-Chañaral,true,CICLM,Puerto,CL
port_0043,Barranqueras,true,ARBRQ,Puerto,AR
port_0044,Barranquilla,true,COBQA,Puerto,CO
port_0045,Bass Harbour,true,THBSH,Puerto,TH
port_0046,Bayonne,true,FRBYE,Puerto,FR
port_0047,Belem,true,BRPAA,Puerto,BR
port_0048,Belfast,true,UKBFT,Puerto,GB
port_0049,Belize,true,UKBEZ,Puerto,BZ
port_0050,Bello Horizonte,true,BRHOR,Puerto,BR
port_0051,Benito Juarez,true,MXBJZ,Puerto,MX
port_0052,Biarritz,true,FRBRZ,Puerto,FR
port_0053,Bilbao,true,SPBBO,Puerto,ES
port_0054,Birminghan,true,UKBIR,Puerto,GB
port_0055,Bogota,true,COBGT,Puerto,CO
port_0056,Bolonia,true,ITBOL,Puerto,IT
port_0057,Bombay,true,INBQM,Puerto,IN
port_0058,Boqueron,true,CUCMN,Puerto,CU
port_0059,Boston,true,USBOQ,Puerto,US
port_0060,Boston UK,true,UKBOS,Puerto,GB
port_0061,Boulogne-Sur-Mer,true,FRBSM,Puerto,FR
port_0062,Bremen,true,GEBMN,Puerto,DE
port_0063,Bremerhaven,true,GEBHV,Puerto,DE
port_0064,Brescia,true,ITBRE,Puerto,IT
port_0065,Brest,true,FRBES,Puerto,FR
port_0066,Brighton,true,UKBIG,Puerto,GB
port_0067,Brindisi,true,ITBIB,Puerto,IT
port_0068,Brisbane,true,ASBBN,Puerto,AU
port_0069,Bristol,true,UKBRI,Puerto,GB
port_0070,Brooklyn,true,USBBD,Puerto,US
port_0071,Brunei Town,true,MYBNU,Puerto,MY
port_0072,Brussels,true,BEBXL,Puerto,BE
port_0073,Buchanan,true,LIBCH,Puerto,LR
port_0074,Buenaventura,true,COBFA,Puerto,CO
port_0075,Buenos Aires,true,ARBAI,Puerto,AR
port_0076,Cabedello,true,BRCBL,Puerto,BR
port_0077,Cabo Negro,true,CICNX,Puerto,CL
port_0078,Cadiz,true,SPCAZ,Puerto,ES
port_0079,Caen,true,FRCNQ,Puerto,FR
port_0080,Cagliari,true,ITCGI,Puerto,IT
port_0081,Calais,true,FRCAL,Puerto,FR
port_0082,Calcutta,true,INCAT,Puerto,IN
port_0083,Caldera,true,CSCDR,Puerto,CR
port_0084,Caleta Cordoba,true,ARCDB,Puerto,AR
port_0085,Caleta Olivia,true,AROLV,Puerto,AR
port_0086,Cali,true,COCAL,Puerto,CO
port_0087,Callao,true,PECAO,Puerto,PE
port_0088,Callo,true,ECPQY,Puerto,EC
port_0089,Campana,true,ARCMA,Puerto,AR
port_0090,Campeche,true,MXCCE,Puerto,MX
port_0091,Canelones,true,UYCAN,Puerto,UY
port_0092,Cannes,true,FRCNN,Puerto,FR
port_0093,Cape Coast,true,GHCPC,Puerto,GH
port_0094,Cape Town,true,SFCTO,Puerto,ZA
port_0095,Caracas,true,VECCV,Puerto,VE
port_0096,Cardiff,true,UKCDF,Puerto,GB
port_0097,Carmelo,true,UYCAR,Puerto,UY
port_0098,Carmen De Patagones,true,ARCDP,Puerto,AR
port_0099,Carrasco,true,UYCAO,Puerto,UY
port_0100,Carro Largo,true,UYCAL,Puerto,UY
port_0101,Cartagena,true,COCGA,Puerto,CO
port_0102,Cartagena ES,true,SPCAF,Puerto,ES
port_0103,Casablanca,true,MOCSA,Puerto,MA
port_0104,Castellammare,true,ITCTM,Puerto,IT
port_0105,Catania,true,ITCAI,Puerto,IT
port_0106,Ceara,true,BRPDM,Puerto,BR
port_0107,Chacabuco,true,CIPCH,Puerto,CL
port_0108,Chan Chiang,true,CHCNG,Puerto,CN
port_0109,Changchun,true,CHANG,Puerto,CN
port_0110,Charleston,true,USCHR,Puerto,US
port_0111,Charlotte,true,USRTR,Puerto,US
port_0112,Cherbourg,true,FRCEG,Puerto,FR
port_0113,Chicago,true,USCIG,Puerto,US
port_0114,Chiu Chiang,true,CHCXX,Puerto,CN
port_0115,Chiwan,true,CHWAN,Puerto,CN
port_0116,Chonchi,true,CICHO,Puerto,CL
port_0117,Christchurch,true,NZPFT,Puerto,NZ
port_0118,Chung Ching,true,CHCUG,Puerto,CN
port_0119,Cienfuegos,true,CUCNF,Puerto,CU
port_0120,Cisnes,true,CICIS,Puerto,CL
port_0121,Cleveland,true,USCVD,Puerto,US
port_0122,Colina,true,CICLN,Puerto,CL
port_0123,Colon,true,PNCXT,Puerto,PA
port_0124,Colón,true,ARCOL,Puerto,AR
port_0125,Colonia,true,UYCOA,Puerto,UY
port_0126,Coloso,true,CICOL,Puerto,CL
port_0127,Comodoro Rivadavia,true,ARCDD,Puerto,AR
